日期_Date,收盘价_Clpr,复权价1(元)_AdjClpr1,复权价2(元)_AdjClpr2,成交量_Trdvol,成交金额_Trdsum,
2020-12-31,"7.5000","30.1187","7.3077","4986584548","44189915454.05"
2021-12-31,"6.9600","28.6857","6.9600","1683016749","12297604698.75"
2012-12-31,"4.7100","52.4840","4.4467","1305800484","7253592964.73"
2013-12-31,"5.2800","59.0515","5.0031","2883605068","15326210615.37"
2014-12-31,"7.1800","80.9945","6.8622","4426127661","29727562300.76"
2015-12-31,"12.0600","136.4178","11.5580","10737126630","128660228346.09"
2016-12-30,"9.4300","107.2899","9.0901","6129971691","60850524881.40"
2017-12-29,"9.7300","111.3529","9.4344","3127008308","28959317464.45"
2018-12-28,"5.7500","66.3039","5.6176","4339290043","37602596436.68"
2019-12-31,"12.1800","142.1452","12.0432","10698832058","112947877541.24"
2020-12-31,"19.0100","222.4339","18.8457","13385733579","277439649099.58"
2021-12-31,"15.8400","186.9581","15.8400","5243329285","95138171366.68"
2012-12-31,"6.1500","8.2758","4.2256","365849193","2491692035.70"
2013-12-31,"8.7800","11.8149","6.0327","365595846","2664462576.23"
2014-12-31,"10.0400","13.5104","6.8984","600875016","6252003601.70"
2015-12-31,"83.8800","112.8736","57.6336","2076496412","105351978561.91"
2016-12-30,"55.2700","74.3744","37.9758","1716169904","118225043342.87"
2017-12-29,"38.5100","51.8212","26.4601","978559762","46426678876.86"
2018-12-28,"26.5200","35.6868","18.2218","855614765","28740747354.34"
2019-12-31,"21.2000","41.3655","21.1213","1371974411","34210380491.87"
2020-12-31,"16.9000","33.0540","16.8775","1538302273","31762913730.50"
2021-12-31,"14.9600","29.2987","14.9600","809404146","12355504694.63"
2012-12-31,"8.0200","47.0134","6.8830","687663575","7191057670.92"
2013-12-31,"7.4900","44.5276","6.5191","1251772143","9460865851.72"
2014-12-31,"10.4000","62.5275","9.1544","1191083736","10551897400.77"
2015-12-31,"16.3800","99.2656","14.5331","2742175481","39430423745.60"
2016-12-30,"13.7000","83.7952","12.2681","1897352568","24192036832.83"
2017-12-29,"11.4200","70.4153","10.3092","1389325238","18974827085.73"
2018-12-28,"7.2900","46.0113","6.7363","486597350","4440907998.11"
2019-12-31,"11.0900","72.0323","10.5459","1512813149","14339517448.88"
2020-12-31,"11.4300","75.9318","11.1169","2524225891","31529314823.24"
2021-12-31,"11.8500","80.9394","11.8500","1628559672","21774262490.37"
2012-12-31,"5.9800","42.2989","2.7675","1134548330","7113117777.45"
2013-12-31,"5.5000","39.5664","2.5887","2015137047","11577089874.71"
2014-12-31,"11.1600","83.8551","5.4864","4442049969","34470842811.49"
2015-12-31,"9.8100","111.5565","7.2988","12395059623","157255669084.87"
2016-12-30,"6.8700","80.5765","5.2719","3122817949","21894264277.09"
2017-12-29,"6.0600","72.6627","4.7541","2424649111","16618212134.51"
2018-12-28,"5.2500","63.9678","4.1852","1421572382","7855317984.42"
2019-12-31,"6.2100","76.3038","4.9923","2316740014","14259059377.07"
2020-12-31,"6.0900","90.6266","5.9294","4288098011","24370879315.49"
2021-12-31,"8.1000","123.8025","8.1000","22935741149","213255019850.65"
2012-12-31,"35.3000","102.9014","32.8643","399224909","10109075673.29"
2013-12-31,"46.3000","135.7680","43.3612","530018119","18344758765.49"
2014-12-31,"47.7300","140.5983","44.9039","332774917","15421280407.88"
2015-10-20,"66.1500","195.3363","62.3859","667524831","44451454394.88"
2016-12-30,"66.9000","198.4975","63.3955","319546036","21724169419.04"
2017-12-29,"60.2500","179.5189","57.3342","285550082","19962953112.92"
2018-12-28,"41.4400","124.1829","39.6612","309835059","15895967982.93"
2019-12-31,"45.3600","137.2804","43.8442","473760332","21289672630.04"
2020-12-31,"45.8000","140.4025","44.8413","1101946100","52704037427.45"
2021-12-31,"36.9800","115.7879","36.9800","643752064","24617223469.28"
2012-12-31,"8.5100","11.8998","4.9703","1003127950","9981094664.88"
2013-12-31,"6.0800","8.5018","3.5511","1006241452","7430687910.08"
2014-12-31,"8.4500","11.9991","5.0118","1831434511","13615671760.27"
2015-12-31,"10.2000","14.6053","6.1004","5014195765","57247577163.10"
2016-12-30,"8.5000","12.4289","5.1913","1935013917","15711438468.50"
2017-12-29,"8.1100","12.1266","5.0651","1471924508","12809969625.34"
2018-12-28,"3.7100","7.9819","3.3339","901230890","5335105531.10"
2019-12-31,"4.7600","10.5636","4.4122","1324664673","6519020531.96"
2020-12-31,"7.3400","16.7768","7.0074","4166835805","27596727708.42"
2021-12-31,"7.4200","17.7647","7.4200","2927547083","20340430383.18"
2012-12-31,"7.3000","18.3102","5.8160","882368542","6004990760.09"
2013-12-31,"8.6700","22.2131","7.0557","918298010","8054136455.19"
2014-12-31,"11.0000","28.2789","8.9824","423705659","4601933083.53"
2015-12-31,"25.6000","65.9466","20.9470","1886796644","37749939928.77"
2016-12-30,"14.9400","46.2366","14.6864","1174570946","20488051688.15"
2017-12-28,"10.0600","31.1735","9.9018","512246384","7257108622.30"
2018-12-28,"7.0200","21.8110","6.9280","803230624","6851221468.33"
2019-12-31,"14.2000","44.5113","14.1384","1314318804","14421993043.98"
2020-12-31,"17.9000","56.3538","17.9000","1349134416","27412716712.91"
2021-12-31,"20.7400","65.2949","20.7400","519230167","10355378244.25"
2012-12-31,"4.0800","7.7996","3.9263","1446684887","7348923439.82"
2013-12-31,"4.2100","8.0481","4.0514","890888306","3755997886.52"
2014-12-31,"6.8400","13.0758","6.5824","1651528315","9982238920.68"
2015-12-23,"27.9500","53.4309","26.8973","2678692224","37396897908.13"
2016-12-30,"22.3200","42.6682","21.4794","1275611237","32108540865.01"
